Model,Split,Variable,ME,SDE,MAE,R2,Time,Number of epochs
Linear Regression,calbased,SBP,-0.03841736,17.919249,14.211845,0.07431745529174805,216.62076997756958,
Linear Regression,calbased,DBP,-0.031211311,11.27876,8.975644,0.09821492433547974,216.62076997756958,
Linear Regression,calfree,SBP,0.32148924,17.882399,14.290911,0.07875281572341919,216.62076997756958,
Linear Regression,calfree,DBP,0.070564635,11.353824,9.029755,0.07538348436355591,216.62076997756958,
FCNN,calfree,SBP,-1.8397194,17.771158,14.028372,0.08072483539581299,729.2028803825378,52
FCNN,calfree,DBP,-1.411915,11.581743,9.217623,0.023627758026123047,729.2028803825378,52
1D CNN,calfree,SBP,-0.21133165,15.924979,12.533054,0.2695026993751526,2758.083265066147,58
1D CNN,calfree,DBP,-0.97636205,10.228412,8.1448,0.24278998374938965,2758.083265066147,58
GRU,calfree,SBP,-1.0644623,15.901296,12.448254,0.2685389518737793,4230.9722855091095,91
GRU,calfree,DBP,-0.5828608,10.299218,8.13163,0.23676568269729614,4230.9722855091095,91
RNN,calfree,SBP,0.638357,18.56799,14.871362,0.005906820297241211,781.0159974098206,33
RNN,calfree,DBP,0.3732482,11.745413,9.355662,0.009543240070343018,781.0159974098206,33
